numer,Adres,Granice obwodu
11,"Kraków-Śródmieście, Stare Miasto ul. Dietla 70","BOGUSŁAWSKIEGO nieparzyste od 1 do 9, DIETLA parzyste od 44 do 68, SAREGO nieparzyste od 1 do 11, STRADOMSKA parzyste od 2 do 18, ŚWIĘTEGO SEBASTIANA nieparzyste od 1 do 23 i parzyste od 2 do 12, ŚWIĘTEJ GERTRUDY od 12 do 24"
12,"Kraków-Śródmieście, Stare Miasto ul. Dietla 70","BOGUSŁAWSKIEGO parzyste od 2 do 10, DIETLA parzyste od 70 do 76, SAREGO nieparzyste od 13 do 27 i parzyste od 2 do 28, STAROWIŚLNA nieparzyste od 1 do 27, ŚWIĘTEGO SEBASTIANA parzyste od 14 do 24, ŚWIĘTEJ GERTRUDY od 1 do 11"
13,"Kraków-Śródmieście, Stare Miasto ul. Wielopole 17 A","BONEROWSKA, DIETLA parzyste od 80 do 90, LIBROWSZCZYZNA, MORSZTYNOWSKA, STAROWIŚLNA parzyste od 2 do 22, WESTERPLATTE od 17 do 20, WIELOPOLE, ZYBLIKIEWICZA nieparzyste od 1 do 19"
14,"Kraków-Śródmieście, Stare Miasto ul. Radziwiłłowska 8","DOKTORA ZAMENHOFA , KOPERNIKA nieparzyste od 1 do 9 i parzyste od 2 do 16, LUBICZ nieparzyste od 1do 9, RADZIWIŁŁOWSKA, SKŁODOWSKIEJ-CURIE, WESTERPLATTE od 1 do 16, , ZYBLIKIEWICZA parzyste od 2 do 22"
15,"Kraków-Śródmieście, Stare Miasto ul. Świętego Marka 34","FLORIAŃSKA, MAŁY RYNEK, MIKOŁAJSKA, NA GRÓDKU, PIJARSKA nieparzyste od 19 do 23, PLAC MARIACKI, PLAC ŚWIĘTEGO DUCHA, SIENNA parzyste od 2 do 16, SZPITALNA, ŚWIĘTEGO KRZYŻA, ŚWIĘTEGO MARKA nieparzyste od 21 do 39 i parzyste od 20 do 34, 34A, ŚWIĘTEGO TOMASZA nieparzyste od 21 do 43 i parzyste od 18 do 34"
16,"Kraków-Śródmieście, Stare Miasto ul. Świętego Marka 34","BRACKA, FRANCISZKAŃSKA 1 i 3, GOŁĘBIA, GRODZKA nieparzyste od 1 do 17, JAGIELLOŃSKA, OLSZEWSKIEGO, PIJARSKA nieparzyste od 1 do 17 i parzyste od 2 do 10, PLAC SZCZEPAŃSKI, PLAC WSZYSTKICH ŚWIĘTYCH od 6 do 11, REFORMACKA, RYNEK GŁÓWNY, SŁAWKOWSKA, SZCZEPAŃSKA, SZEWSKA, ŚWIĘTEGO JANA, ŚWIĘTEGO MARKA od 4 do 19, ŚWIĘTEGO TOMASZA nieparzyste od 1 do 19 i parzyste od 2 do 16, ŚWIĘTEJ ANNY, WIŚLNA"
17,"Kraków-Śródmieście, Stare Miasto ul. Plac Na Groblach 9","PLAC NA GROBLACH, PODZAMCZE parzyste od 20 do 26, POWIŚLE nieparzyste od 1 do 9 i parzyste od 2 do 12, STRASZEWSKIEGO od 4 do 15, TARŁOWSKA, TENCZYŃSKA, ZWIERZYNIECKA parzyste od 2 do 34"
18,"Kraków-Śródmieście, Stare Miasto ul. Smoleńsk 5/7","ALEJA KRASIŃSKIEGO nieparzyste od 1 do 25, MARSZAŁKA PIŁSUDSKIEGO nieparzyste od 1 do 25 i parzyste od 4 do 40 , MORAWSKIEGO 2, 4, PLAC KOSSAKA od 1 do 16, RETORYKA nieparzyste od 1 do 23 i 4, 4 a , 4 b, 6, 6 a, SMOLEŃSK nieparzyste od 27 do 37 i parzyste od 14 do 26, WYGODA"
19,"Kraków-Śródmieście, Stare Miasto ul. Smoleńsk 5/7","BOŻEGO MIŁOSIERDZIA, FELICJANEK, MAŁA, RETORYKA parzyste od 10 do 26, SMOLEŃSK nieparzyste od 3 do 25 a i parzyste od 2 do 12, STRASZEWSKIEGO od 18 do 22, ZEGADŁOWICZA, ZWIERZYNIECKA nieparzyste od 5 do 29"
20,"Kraków-Śródmieście, Stare Miasto al. Mickiewicza 5 wejście od ul. Humberta 1","ALEJA MICKIEWICZA nieparzyste od 1 do 23, CYBULSKIEGO, CZARNOWIEJSKA parzyste od 4 do 8, CZYSTA, DOLNYCH MŁYNÓW parzyste od 6 do 10, GARNCARSKA nieparzyste od 1 do 23 (bez 11), HUMBERTA, KRUPNICZA nieparzyste od 23 do 37 i parzyste od 32 do 44, MARSZAŁKA PIŁSUDSKIEGO nieparzyste od 27 do 29, SKARBOWA (bez 1), WENECJA"
21,"Kraków-Śródmieście, Stare Miasto ul. Loretańska 16","CZAPSKICH, GARNCARSKA parzyste od 2 do 26, JABŁONOWSKICH, KAPUCYŃSKA, KRUPNICZA parzyste od 2 do 30, LORETAŃSKA, PLAC GENERAŁA SIKORSKIEGO, PODWALE, STRASZEWSKIEGO od 23 do 29, STUDENCKA"
22,"Kraków-Śródmieście, Stare Miasto ul. Szujskiego 2","ALEJA MICKIEWICZA nieparzyste od 25 do 37, CZARNOWIEJSKA nieparzyste od 1 do 25, 25 a, DOLNYCH MŁYNÓW nieparzyste od 3 do 11, KARMELICKA parzyste od 6 do 42, KOCHANOWSKIEGO nieparzyste od 1 do 7 i parzyste od 2 do 30, KRUPNICZA nieparzyste od 1 do 21, MICHAŁOWSKIEGO nieparzyste od 11 do 19 i parzyste od 2 do 18, RAJSKA, SZUJSKIEGO"
23,"Kraków-Śródmieście, Stare Miasto ul. Szujskiego 2","ALEJA MICKIEWICZA nieparzyste od 41 do 63, GRABOWSKIEGO, KARMELICKA parzyste od 44 do 70, KOCHANOWSKIEGO nieparzyste od 9 do 25, MICHAŁOWSKIEGO nieparzyste od 1 do 9, PAWLIKOWSKIEGO"
24,"Kraków-Śródmieście, Stare Miasto ul. Sobieskiego 9","ALEJA SŁOWACKIEGO nieparzyste od 1 do 13 a, b, c, d, FELDMANA, JANA SOBIESKIEGO, KARMELICKA nieparzyste od 53 do 57, KREMEROWSKA, LENARTOWICZA parzyste od 2 do 14 i nieparzyste od 1 do 13, ŁOBZOWSKA parzyste od 28 do 40, SIEMIRADZKIEGO ( bez nr 1)"
25,"Kraków-Śródmieście, Stare Miasto ul. Sobieskiego 9","ALEJA SŁOWACKIEGO nieparzyste od 15 do 25, KROWODERSKA parzyste od 46 do 74, ŁOBZOWSKA nieparzyste od 41 do 61, SPASOWSKIEGO, STASZICA, SZLAK nieparzyste od 1 do 13 i parzyste od 2 do 12, ŚWIĘTEJ TERESY"
26,"Kraków-Śródmieście, Stare Miasto ul. Garbarska 1","DUNAJEWSKIEGO, GARBARSKA, KARMELICKA nieparzyste od 1 do 51, ŁOBZOWSKA parzyste od 2 do 26, STEFANA BATOREGO"
27,"Kraków-Śródmieście, Stare Miasto ul. Krowoderska 17","ASNYKA, BASZTOWA od 1 do 10, BISKUPIA, DŁUGA parzyste od 2 do 38, FENN`A, KROWODERSKA nieparzyste od 1 do 33 (bez 7) i parzyste od 2 do 44, ŁOBZOWSKA nieparzyste od 3 do 39 a, 39 b, SŁOWIAŃSKA 2"
28,"Kraków-Śródmieście, Stare Miasto ul. Żuławskiego 9","ALEJA SŁOWACKIEGO nieparzyste od 27 do 45, DŁUGA parzyste od 70 do 88, KOLBERGA, KROWODERSKA nieparzyste od 61 do 79, SZLAK parzyste od 14 do 18, ŻUŁAWSKIEGO"
29,"Kraków-Śródmieście, Stare Miasto ul. Wróblewskiego 8","DŁUGA nieparzyste od 31 do 55 i parzyste od 40 do 64, KROWODERSKA nieparzyste od 35 do 59, PĘDZICHÓW parzyste od 2 do 22, SZLAK nieparzyste od 15 do 45"
30,"Kraków-Śródmieście, Stare Miasto ul. Wróblewskiego 8","DŁUGA 27, 29 i nieparzyste od 57 do 65, HELCLÓW (bez 2), KAMIENNA nieparzyste od 1 do 13, MONTELUPICH (bez 7), OGRODOWA, PĘDZICHÓW nieparzyste od 1 do 27 i parzyste od 24 do 28, SZLAK nieparzyste od 47 do 77 i parzyste od 20 do 42, 50, WARSZAWSKA, WRÓBLEWSKIEGO"
31,"Kraków-Śródmieście, Stare Miasto ul. Rynek Kleparski 18","BASZTOWA od 15, BOSACKA parzyste od 4 do 32 i 29, DŁUGA nieparzyste od 1 do 23, KRÓTKA, KRZYWA, KURNIKI, LUBICZ parzyste od 10 do 14 a, PADEREWSKIEGO, PAWIA, PLAC NOWAKA-JEZIORAŃSKIEGO, PLAC MATEJKI, RYNEK KLEPARSKI, ŚWIĘTEGO FILIPA, WORCELLA, ZACISZE"
32,"Kraków-Śródmieście, Stare Miasto ul. Wileńska 9","ALEJA 29 LISTOPADA nieparzyste od 1 do 39 i parzyste od 6 do 36, BĘDZIŃSKA, BISKUPA PRANDOTY, BOSACKA 13, 15, KAMIENNA 15, 16, 17, 19, 35, 45, KĄTOWA, LANGIEWICZA, MUROWANA, OTWINOWSKIEGO Nr 27, 29, RAKOWICKA parzyste od 18 do 30, 30 c, ROGATKA, TOWAROWA, WJAZD, ŻELAZNA"
33,"Kraków-Śródmieście, Grzegórzki ul. Wyrwińskiego 1","ALEJA PŁK. BELINY-PRAŻMOWSKIEGO nieparzyste od 53 do 71, BRODOWICZA parzyste od 16 a do 36, nieparzyste 13, 13 a, EISENBERGA, GARCZYŃSKIEGO, GENERAŁA BEMA, GENERAŁA SOWIŃSKIEGO, GROCHOWSKA nieparzyste, GRUNWALDZKA od 17, KSIĘDZA BISKUPA BANDURSKIEGO od 17, MONIUSZKI nieparzyste od 21 do 69 i parzyste od 20 do 48, OLSZAŃSKA nieparzyste od 9 do 31 i parzyste od 12 do 34, ORDONA, ORLĄT LWOWSKICH, SUPNIEWSKIEGO, WILKA WYRWIŃSKIEGO"
34,"Kraków-Śródmieście, Grzegórzki ul. Grunwaldzka 5","ALEJA PŁK. BELINY-PRAŻMOWSKIEGO nieparzyste od 1 do 7, GENERAŁA CHŁOPICKIEGO, GRUNWALDZKA od 1 do 10, KIELECKA od 1 do 18, MISIOŁKA, MOGILSKA parzyste od 22 do 102, RYMARSKA 5 i parzyste od 12 do 18, ZALESKIEGO"
35,"Kraków-Śródmieście, Grzegórzki ul. Kasprowicza 29","ALEJA PŁK. BELINY-PRAŻMOWSKIEGO nieparzyste od 9 do 51, BRODOWICZA nieparzyste od 1 do 11 i parzyste od 2 do 16, GRUNWALDZKA od 11 do 16, KASPROWICZA, KIELECKA od 19, KSIĘDZA BISKUPA BANDURSKIEGO od 1 do 16, MONIUSZKI od 1 do 19"
36,"Kraków-Śródmieście, Grzegórzki ul. Lubomirskiego 21","ALEJA PŁK. BELINY-PRAŻMOWSKIEGO parzyste od 2 do 70, ARIAŃSKA, BOROWICKIEJ, LUBICZ parzyste od 44 do 48, LUBOMIRSKIEGO 2 i od 19, MOGILSKA parzyste od 2 do 20, OLSZAŃSKA nieparzyste od 1 do 7a i parzyste od 2 do 10, RAKOWICKA nieparzyste od 27 do 43, 43A, TOPOLOWA nieparzyste od 25 do 35 i parzyste od 32 do 52"
37,"Kraków-Śródmieście, Grzegórzki ul. Topolowa 22","BOSACKA nieparzyste od 5 do 11, BOTANICZNA, KOPERNIKA nieparzyste od 13 do 31 i parzyste od 22 do 50 (bez 36), KURKOWA, LUBICZ nieparzyste od 13 do 29 i parzyste od 16 do 42, LUBOMIRSKIEGO nieparzyste od 1 do 15, RAKOWICKA od 1 do 25 (bez 18, 20, 22, 24), STRZELECKA, TOPOLOWA nieparzyste od 1 do 23i parzyste od 2 do 30, ZYGMUNTA AUGUSTA"
38,"Kraków-Śródmieście, Grzegórzki ul. Grochowska 20","BOLESŁAWA CHROBREGO od 1 do 23, DOMKI, GROCHOWSKA parzyste, IDZIKOWSKIEGO, JAWORSKIEGO, KSIĘDZA IGNACEGO JANA SKORUPKI, NA WIANKACH, NORWIDA, RAKOWICKA nieparzyste od 45 do 99, RUSAŁEK"
39,"Kraków-Śródmieście, Grzegórzki ul. Grochowska 20","BOLESŁAWA CHROBREGO od 24, BRATKOWA, CIEPLIŃSKIEGO, DROGA NAD BIAŁUCHĄ, DUKATÓW, FARMACEUTÓW, KĄT, KRYNICZNA, LESISTA, LOTNICZA nieparzyste od 1 do 13 i parzyste od 2 do 22, ŁUKASIEWICZA, NADBRZEŻNA, NARZYMSKIEGO nieparzyste od 1 do 23 i parzyste od 2 do 32, OLSZYNY, OTWINOWSKIEGO (bez Nr. 27, 29) STOKROTEK"
40,"Kraków-Śródmieście, Grzegórzki ul. Jachowicza 5","ALEJA POKOJU parzyste od 20 do 32, DĄBSKA, JACHOWICZA, KOSYNIERÓW, MOGILSKA 109, NIZINNA, ŚWITEZIANKI, ZWYCIĘSTWA"
41,"Kraków-Śródmieście, Grzegórzki ul. Jachowicza 5","ALEJA POKOJU 31 b, nieparzyste od 37 do 45, NA SZANIEC nieparzyste od 1 do 23, WIDOK parzyste od 2 do 12"
42,"Kraków-Śródmieście, Grzegórzki ul. Półkole 11","BAJECZNA, GRZEGÓRZECKA nieparzyste od 117 do 119 a, MIEDZIANA, NA SZANIEC parzyste od 2 do 14, OFIAR DĄBIA"
43,"Kraków-Śródmieście, Grzegórzki ul. Półkole 11","PÓŁKOLE, WIDOK nieparzyste od 5 do 41 i parzyste od 14 do 22 a"
44,"Kraków-Śródmieście, Grzegórzki ul. Pułkownika Nullo 23","ALEJA POKOJU nieparzyste od 1 do 23, 27 a, b i 29, 29 a, 29 b, BOBROWSKIEGO, PUŁKOWNIKA NULLO nieparzyste od 3 do 7 i parzyste od 4 do 6, 8 A,"
45,"Kraków-Śródmieście, Grzegórzki ul. Pułkownika Nullo 23","ALEJA POKOJU parzyste od 10 do 12, PUŁKOWNIKA NULLO nieparzyste od 13 do 23 i parzyste od 10 do 20"
46,"Kraków-Śródmieście, Grzegórzki ul. Pułkownika Nullo 23","ALEJA POKOJU parzyste od 14 do 18, CYSTERSÓW, FABRYCZNA nieparzyste od 15 do 25 i parzyste od 8 do 20 a, MOGILSKA nieparzyste od 11 do 81, MOSIĘŻNICZA, PRZY RONDZIE 7, 53, 55"
47,"Kraków-Śródmieście, Grzegórzki ul. Sądowa 4","FABRYCZNA nieparzyste od 1 do 3 parzyste od 2 do 6, GRZEGÓRZECKA parzyste od 72 do 104 i nieparzyste od 67 do 101, ROGOZIŃSKIEGO, SKRZATÓW, ŻÓŁTEJ CIŻEMKI"
48,"Kraków-Śródmieście, Grzegórzki ul. Sądowa 4","ALEJA POKOJU parzyste od 2 do 8, ALEJA POWSTANIA WARSZAWSKIEGO parzyste, KORDYLEWSKIEGO, PROFESORA SZAFERA, PRZY RONDZIE 2, SĄDOWA 4 i nieparzyste od 1 do 9"
49,"Kraków-Śródmieście, Grzegórzki ul. Grzegórzecka 24","ALEJA POWSTANIA WARSZAWSKIEGO nieparzyste, BLICH, BUJWIDA, GENERAŁA DWERNICKIEGO, GRZEGÓRZECKA parzyste od 4 do 40, HETMANA ŻÓŁKIEWSKIEGO, KOŁŁĄTAJA (bez 7), SOŁTYKA, ŚNIADECKICH, ŚWIĘTEGO ŁAZARZA"
50,"Kraków-Śródmieście, Grzegórzki ul. Grzegórzecka 24","ALEJA DASZYŃSKIEGO parzyste od 12 do 32, CHODKIEWICZA, GRZEGÓRZECKA nieparzyste od 7 do 51, MASARSKA 3, 6, 6a, 7, 8, POLA, PROCHOWA, RZEŹNICZA nieparzyste od 1 do 35"
51,"Kraków-Śródmieście, Grzegórzki ul. Rzeźnicza 4","GĘSIA, KOTLARSKA, MASARSKA 9, 14, 16, RZEŹNICZA parzyste od 2 do 20, SEMPERITOWCÓW"
52,"Kraków-Śródmieście, Grzegórzki ul. Księdza Blachnickiego 1","ALEJA DASZYŃSKIEGO nieparzyste od 7 do 29, HALICKA 21, 22, 23, KSIĘDZA BLACHNICKIEGO, KSIĘDZA GURGACZA, METALOWCÓW, MIODOWA 53, 55, 55 a, PODGÓRSKA 28, SIEDLECKIEGO, WIŚLISKO"
53,"Kraków-Śródmieście, Prądnik Czerwony ul. Duchacka 3","ALEJA 29 LISTOPADA nieparzyste od 71 do 93, CELAROWSKA nieparzyste, DUCHACKA, FERTNERA, GENERAŁA PRĄDZYŃSKIEGO nieparzyste, SADOWA, WIŚNIOWA"
54,"Kraków-Śródmieście, Prądnik Czerwony ul. Wileńska 9","ALEJA 29 LISTOPADA nieparzyste od 41 do 69 i parzyste od 38 do 86 (bez Nr 70), GENERAŁA PRĄDZYŃSKIEGO parzyste, KLEMENSIEWICZA, WILEŃSKA, ZAUŁEK WILEŃSKI"
55,"Kraków-Śródmieście, Prądnik Czerwony ul. Wileńska 9","ALEJA 29 LISTOPADA 70, CELAROWSKA parzyste, CZERWONA, ŻMUJDZKA parzyste od 2 do 16 a i nieparzyste od 1 do 23, ŻYTNIA"
56,"Kraków-Śródmieście, Prądnik Czerwony ul. Wileńska 9","BŁĘKITNA, BROGI nieparzyste, CZERWONEGO PRĄDNIKA, GDAŃSKA, NADRZECZNA, POGODNA, RADOMSKA, TRĘBACZA, ŻUŁOWSKA"
57,"Kraków-Śródmieście, Prądnik Czerwony ul. Dobrego Pasterza 6","ALEJA 29 LISTOPADA nieparzyste od 95 do 145 i parzyste od 88 do 154, CHLEBOWA, DOBREGO PASTERZA 4, 6, 8, 12, 15, 15A, 16, 19, 20, 21A, 24, 25A, 26, 28, 29, 30, 30A, 31, 31A, 31B, 32, 34, 36, 36C, 37, 37A, 37B, 39, 40, JEZUITÓW, NA BARCIACH, NAD STRUGĄ 7a, 17, POCIESZKA, POWSTAŃCÓW 26, RYBIANKA, SZKLANA, ŚWIĘTEGO ANDRZEJA BOBOLI,"
58,"Kraków-Śródmieście, Prądnik Czerwony ul. Dobrego Pasterza 6","BIAŁYCH BRZÓZ, CIOŁKOWSKIEGO, COMBROWA, DOBREGO PASTERZA 41, 43, 44A, 48, 49, 51, 51A, 53, 55, 56, 62, 64, 66, 68, 74, 87, 93, 95, 99, 99A, 99B, 99C, 99D, 99E, 101, DOMINIKANÓW, JASNORZEWSKIEJ, LUBLAŃSKA 11a, 15, KACZARY 9, NABIELAKA, OSTROROGA, REZEDOWA, ROKITNIAŃSKA, WORONICZA"
59,"Kraków-Śródmieście, Prądnik Czerwony ul. Sudolska 3","ŁEPKOWSKIEGO, MAJORA NUSZKIEWICZA"
60,"Kraków-Śródmieście, Prądnik Czerwony ul. Sudolska 3",MAJORA
61,"Kraków-Śródmieście, Prądnik Czerwony ul. Kazimierza Odnowiciela 2","BITSCHANA, BOZNAŃSKIEJ, DZIEDZICA, KAZIMIERZA ODNOWICIELA, OLSZECKA, PROMIENISTYCH"
62,"Kraków-Śródmieście, Prądnik Czerwony ul. Kazimierza Odnowiciela 2","DOBREGO PASTERZA parzyste od 102 do 110, 112, 112 a, 114, 114 a, i nieparzyste od 105 do 123, ŁUSZCZKIEWICZA, NACZELNA, SUDOLSKA"
63,"Kraków-Śródmieście, Prądnik Czerwony ul. Strzelców 5a","LILIOWA, POWSTAŃCÓW nieparzyste od 1 do 115 A i parzyste 14, 20, 22, 36, 38, 40, 42, 44, 46, 52, 52A, STRZELCÓW 15 a, 15 b, 17 a"
64,"Kraków-Śródmieście, Prądnik Czerwony ul. Strzelców 5a","STRZELCÓW 4A, 5A, 6A, 7, 7A, 7B, 9B, 7C, 9, 9A, 11, 11A"
65,"Kraków-Śródmieście, Prądnik Czerwony ul. Strzelców 5a","REDUTA 5, 6, 9, 9A, 11, 11A, STRZELCÓW 14, 17, 18, 19, 19A, 21, 23"
66,"Kraków-Śródmieście, Prądnik Czerwony ul. Strzelców 5a",POWSTAŃCÓW parzyste od 30 do 34 a
67,"Kraków-Śródmieście, Prądnik Czerwony ul. Strzelców 5a","ANTYCZNA, BACHLEDY, KWARTOWA, MARCHOŁTA, PANA COGITO, REDUTA 25, 31, ROZRYWKA (bez nr 20), SABAŁY"
68,"Kraków-Śródmieście, Prądnik Czerwony ul. Strzelców 5a","ALEJA GENERAŁA BORA KOMOROWSKIEGO Nr 9, 9 a, 15, 15 a, b, 17, 23, 33, ALINY, BALLADYNY, BRZECHWY, DOBREGO PASTERZA parzyste od 118 do 122 i nieparzyste od 125, HARNASIÓW, JANOSIKA, KRZESŁAWICKA (bez 2 a, 2 b), LIRYCZNA, NIKIFORA, ROZRYWKA 20, SŁONECKIEGO"
69,"Kraków-Śródmieście, Prądnik Czerwony ul. Sadzawki 1","AKACJOWA 10, 12, CIEŚLEWSKIEGO nieparzyste"
70,"Kraków-Śródmieście, Prądnik Czerwony ul. Sadzawki 1","DZIELSKIEGO, MŁYŃSKA BOCZNA nieparzyste, XX. PIJARÓW"
71,"Kraków-Śródmieście, Prądnik Czerwony ul. Sadzawki 1","AKACJOWA (bez 10, 12), CIEŚLEWSKIEGO parzyste, PILOTÓW nieparzyste od 53 do 97 i parzyste od 20a do 68, PSZONA, UŁANÓW nieparzyste od 33 do 63 i parzyste od 52 do 80, WYSOKA"
72,"Kraków-Śródmieście, Prądnik Czerwony ul. Młyńska Boczna 4","MŁYŃSKA BOCZNA 4, MŁYŃSKA parzyste od 2 do 14, SADZAWKI"
73,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","BROGI parzyste, DOBRA, JAŚMINOWA, KANONIERÓW, MIESZKA I, PARTYZANTÓW, PIĘKNA, PILOTÓW 2, 2a, 2b, 2c, 2d, 4, PTASIA, SAPERÓW, SOKOŁOWSKIEGO, SZWOLEŻERÓW"
74,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","BOHATERÓW WIETNAMU, MIECHOWITY parzyste od 8 do 10 i 18, MŁYŃSKA 5, 7, 7a, 9, PILOTÓW parzyste od 6 do 20, STANISŁAWA ZE SKALBMIERZA"
75,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","BOSAKÓW, CZEREŚNIOWA, LUBLAŃSKA parzyste od 6 do 20, MALAWSKIEGO, MIECHOWITY od 1 do 6, OLSZTYŃSKA, ŚRODKOWA, TURKUSOWA, WIENIAWSKIEGO"
76,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","LUBLAŃSKA parzyste od 22 do 30, MIECHOWITY nieparzyste od 7 do 21, MŁYŃSKA 11"
77,"Kraków-Śródmieście, Prądnik Czerwony ul. Pilotów 51","BAJANA, CHAŁUPNIKA, KAJTY, KRZYWOŃ, MAJOWA, MEISSNERA od 1 do 15, 20, NIEZNANA, PILOTÓW nieparzyste od 1 do 51, PODMIEJSKA, RACIBORSKIEGO, ROZMARYNOWA, STARTOWA, SWOJSKA, WIDNA, WIEJSKA, ŻWIRKI i WIGURY"
78,"Kraków-Śródmieście, Prądnik Czerwony ul. Seniorów Lotnictwa 5","FIOŁKOWA, SENIORÓW LOTNICTWA, SPADOCHRONIARZY, UGOREK parzyste od 2 do 4, UŁANÓW nieparzyste od 17 do 31 i parzyste od 46 do 48"
79,"Kraków-Śródmieście, Prądnik Czerwony ul. Seniorów Lotnictwa 5",UGOREK parzyste od 6 do 20
80,"Kraków-Śródmieście, Prądnik Czerwony ul. Ułanów 3","UGOREK nieparzyste od 1 do 3, UŁANÓW nieparzyste od 7 do 15 i parzyste od 16 do 42, WŁODKOWICA nieparzyste od 1 do 7"
81,"Kraków-Śródmieście, Prądnik Czerwony ul. Ułanów 3","JANICKIEGO, ŁĄKOWA, MEISSNERA nieparzyste od 17 do 35, NIEDUŻA, UŁANÓW nieparzyste od 1 do 5a i parzyste od 2 do 14, WŁODKOWICA parzyste od 2 do 8"
82,"Kraków-Śródmieście, Prądnik Czerwony ul. Łąkowa 31","KANTORA, MEISSNERA 32, ŚLICZNA"
