,nr,granice,obwod06,lat,lon
32,33,"aleja płk. beliny-prażmowskiego nieparzyste od 53 do 71, brodowicza parzyste od 16 a do 36, nieparzyste 13, 13 a, eisenberga, garczyńskiego, generała bema, generała sowińskiego, grochowska nieparzyste, grunwaldzka od 17, księdza biskupa bandurskiego od 17, moniuszki nieparzyste od 21 do 69 i parzyste od 20 do 48, olszańska nieparzyste od 9 do 31 i parzyste od 12 do 34, ordona, orląt lwowskich, supniewskiego, wilka wyrwińskiego",33,50.0705713,19.9628721
33,34,"aleja płk. beliny-prażmowskiego nieparzyste od 1 do 7, generała chłopickiego, grunwaldzka od 1 do 10, kielecka od 1 do 18, misiołka, mogilska parzyste od 22 do 102, rymarska parzyste od 12 do 18 i 5, zaleskiego",34,50.0690453,19.9656951
34,35,"aleja płk. beliny-prażmowskiego nieparzyste od 9 do 51, brodowicza nieparzyste od 1 do 11 i parzyste od 2 do 16, grunwaldzka od 11 do 16, kasprowicza, kielecka od 19, księdza biskupa bandurskiego od 1 do 16, moniuszki od 1 do 19",35,50.06933455,19.9611405945155
35,36,"aleja płk. beliny-prażmowskiego parzyste od 2 do 70, ariańska, borowickiej, lubicz parzyste od 44 do 48, lubomirskiego 2 i od 19, mogilska parzyste od 2 do 20, olszańska nieparzyste od 1 do 7a i parzyste od 2 do 10, rakowicka nieparzyste od 27 do 43, 43a, topolowa nieparzyste od 25 do 35 i parzyste od 32 do 52",36,50.0665539,19.9543352
36,37,"botaniczna, bosacka nieparzyste od 5 do 11, kopernika nieparzyste od 13 do 31( bez 19d) i parzyste od 22 do 50 ( bez 36), kurkowa, lubicz nieparzyste od 13 do 29 i parzyste od 16 do 42, lubomirskiego nieparzyste od 1 do 15, rakowicka od 1 do 25 (bez 18, 20, 22, 24), strzelecka , topolowa nieparzyste od 1 do 23 i parzyste od 2 do 30, zygmunta augusta",37,50.0653999,19.9545601
37,38,"bolesława chrobrego od 1 do 23, domki, grochowska parzyste, idzikowskiego, jaworskiego, księdza ignacego jana skorupki, na wiankach, norwida, rakowicka nieparzyste od 45 do 99, rusałek",38,50.0771851,19.9647023
38,39,"bolesława chrobrego od 24, bratkowa, cieplińskiego, droga nad białuchą, dukatów, farmaceutów, kąt, kryniczna, lesista, lotnicza nieparzyste od 1 do 13 i parzyste od 2 do 22, łukasiewicza, nadbrzeżna, narzymskiego nieparzyste od 1 do 23 i parzyste od 2 do 32, olszyny, otwinowskiego (bez nr 27, 29), stokrotek",39,50.0730549,19.9699589
39,40,"aleja pokoju parzyste od 20 do 32, dąbska, jachowicza, kosynierów, mogilska 109, nizinna, świtezianki, zwycięstwa",40,50.0600265,19.9760088
40,41,"aleja pokoju 31 b, nieparzyste od 37 do 45, na szaniec nieparzyste od 1 do 23, widok parzyste od 2 do 12",41,50.0609333,19.9793699
41,42,"bajeczna, grzegórzecka nieparzyste od 117 do 119 a, na szaniec parzyste od 2 do 14, miedziana, ofiar dąbia",42,50.0574134,19.9766788
42,43,"półkole, widok nieparzyste od 5 do 41 i parzyste od 14 do 22 a",43,50.0605433,19.9817093
43,44,"bobrowskiego, pułkownika nullo nieparzyste od 3 do 7 i parzyste od 4 do 6, 8a,  aleja pokoju nieparzyste od 1 do 23, 27 a, b i 29, 29 a, 29 b, ",44,50.0587922,19.9663784
44,45,"aleja pokoju parzyste od 10 do 12, pułkownika nullo nieparzyste od 13 do 23 i parzyste od 10 do 20",45,50.0602792,19.9650830461538
45,46,"aleja pokoju parzyste od 14 do 18, cystersów, fabryczna nieparzyste od 15 do 25 i parzyste od 8 do 20 a, mogilska nieparzyste od 11 do 81, mosiężnicza, przy rondzie 7, 53, 55",46,50.0603119,19.9668027
46,47,"fabryczna nieparzyste od 1 do 3 parzyste od 2 do 6, grzegórzecka parzyste od 72 do 104 i nieparzyste od 67 do 101, rogozińskiego, skrzatów, żółtej ciżemki",47,50.0586461,19.9704937
47,48,"aleja pokoju parzyste od 2 do 8, aleja powstania warszawskiego parzyste, kordylewskiego, profesora szafera, przy rondzie 2, sądowa 4 i nieparzyste od 1 do 9",48,50.0583961,19.9603358
48,49,"aleja powstania warszawskiego nieparzyste, blich, bujwida, generała dwernickiego, generała sołtyka, grzegórzecka parzyste od 4 do 40, hetmana żółkiewskiego, kołłątaja (bez 7), śniadeckich , świętego łazarza",49,50.0650052,19.9595803
49,50,"aleja daszyńskiego parzyste od 12 do 32, chodkiewicza, grzegórzecka nieparzyste od 7 do 51, masarska 3, 6, 6a, 7, 8, pola, prochowa, rzeźnicza nieparzyste od 1 do 35",50,50.0576114,19.9523248
50,51,"gęsia, kotlarska, masarska 9, 14, 16, rzeźnicza parzyste od 2 do 20, semperitowców",51,50.0540273,19.9566396
51,52,"aleja daszyńskiego nieparzyste od 7 do 29, halicka 21, 22, 23, księdza blachnickiego, księdza gurgacza, metalowców, miodowa 53, 55, 55 a, podgórska 28, siedleckiego, wiślisko",52,50.0511304,19.9530424
52,53,"aleja 29 listopada nieparzyste od 71 do 93, celarowska nieparzyste, duchacka, fertnera, generała prądzyńskiego nieparzyste, sadowa, wiśniowa",53,50.0838587,19.9560901
53,54,"aleja 29 listopada  nieparzyste od 41 do 69 i parzyste od 38 do 86 ( bez nr 70), generała prądzyńskiego parzyste, klemensiewicza, wileńska, zaułek wileński",54,50.08076385,19.95117335
54,55,"aleja 29 listopada 70, celarowska parzyste, czerwona, żmujdzka parzyste od 2 do 16 a i nieparzyste od 1 do 23, żytnia",55,50.0857313,19.953892
55,56,"błękitna, brogi nieparzyste, czerwonego prądnika, gdańska, nadrzeczna, pogodna, radomska, trębacza, żułowska",56,50.0795794,19.9596835
56,57,"aleja 29 listopada nieparzyste od 95 do 145 i parzyste od 88 do 154, białych brzóz, chlebowa, ciołkowskiego, combrowa, dobrego pasterza parzyste od 2 do 88 i nieparzyste od 1 do 103, dominikanów, jasnorzewskiej, jezuitów, lublańska 11a, 15, na barciach, nabielaka, nad strugą 7, 17, ostroroga, pocieszka, powstańców 26, rezedowa, rokitniańska, rybianka, szklana, świętego andrzeja boboli, woronicza",57,50.0861799,19.9580516
57,58,"łepkowskiego, majora nuszkiewicza",58,50.0881521,19.963568
58,59,majora,59,50.088427,19.96538
59,60,"bitschana, boznańskiej, dziedzica, kazimierza odnowiciela, olszecka, promienistych",60,50.0879004,19.9690207
60,61,"dobrego pasterza parzyste od 102 do 110, 112, 112 a, 114, 114 a, i nieparzyste od 105 do 123, łuszczkiewicza, naczelna, sudolska",61,50.0882931,19.9689320230098
61,62,"liliowa, powstańców nieparzyste od 1 do 115 a i parzyste 14, 20, 22, 36, 38, 40, 42, 44, 46, 52, 52a, strzelców 15 a, 15 b, 17 a",62,50.0939899,19.9643711
62,63,"strzelców (bez 15 a, 15 b, 17 a), reduta 5, 6, 9, 9a, 11, 11a",63,50.0949273,19.974866
63,64,powstańców parzyste od 30 do 34 a,64,50.09380315,19.9679942711357
64,65,"antyczna, bachledy, kwartowa, marchołta, pana 
cogito, reduta 31, rozrywka, sabały",66,50.0928367,19.9780257
65,66,"aliny, balladyny, aleja gen.bora-komorowskiego 9, 9a, 15, 15a, b, 17, 23, 33 brzechwy, dobrego pasterza parzyste od 118 do 122 i nieparzyste od 125, harnasiów, janosika, krzesławicka (bez 2 a, 2 b), liryczna, nikifora, słoneckiego",65,50.0902713,19.9833305
66,67,"dzielskiego, młyńska boczna 3, 5, 7, 9, xx pijarów",67,50.0836895,19.9770975
67,68,"akacjowa (bez 10, 12), cieślewskiego parzyste, pszona, pilotów nieparzyste od 53 do 97 i parzyste od 20 a do 68, ułanów nieparzyste od 33 do 63 i parzyste od 52 do 80, wysoka",68,50.0815695,19.9787947
68,69,"młyńska boczna 4, młyńska parzyste od 2 do 14, sadzawki",69,50.0828505,19.9713601
69,70,"brogi parzyste, dobra, jaśminowa, kanonierów, mieszka i, partyzantów, piękna, pilotów 2, 2a, 2b, 2c, 2d, 4, ptasia, saperów, sokołowskiego, szwoleżerów",70,50.0813678,19.962298
70,71,"bohaterów wietnamu, miechowity parzyste od 8 do 10 i 18, młyńska 5, 7, 7 a, 9, 156, pilotów parzyste od 6 do 20, stanisława ze skalbmierza",71,50.0817476,19.9699573
71,72,"bosaków, czereśniowa, lublańska parzyste od 6 do 20 , malawskiego, miechowity od 1 do 6, olsztyńska, środkowa, turkusowa, wieniawskiego",72,50.0838393,19.9620715
72,73,"lublańska parzyste od 22 do 30, miechowity nieparzyste od 7 do 21, młyńska 11",73,50.0844361,19.9653752009012
73,74,"bajana, chałupnika, kajty, krzywoń, majowa, meissnera 4, 6 i 20, nieznana, pilotów nieparzyste od 1 do 51, podmiejska, raciborskiego, rozmarynowa, startowa, swojska, widna, wiejska, żwirki i wigury",74,50.078944,19.9742971
74,75,"fiołkowa, spadochroniarzy, ugorek parzyste od 2 do 4, ułanów nieparzyste od 17 do 31 i parzyste od 46 do 48, seniorów lotnictwa",75,50.078332,19.9807643
75,76,ugorek parzyste od 6 do 20,76,50.0770309,19.9814802435134
76,77,"ugorek nieparzyste od 1 do 3, ułanów nieparzyste od 7 do 15 i parzyste od 16 do 42, włodkowica nieparzyste od 1 do 7",77,50.07587445,19.9828173592063
77,78,"janickiego, łąkowa, meissnera nieparzyste 17, 21, 33, 35 i parzyste od 2 do 10 (bez 4, 6) i 14, nieduża, ułanów nieparzyste od 1 do 5, 5 a i parzyste od 2 do 14, włodkowica parzyste od 2 do 8",78,50.0737989,19.9808822
78,79,"śliczna, kantora, meissnera 32",79,50.0744519,19.9760684
79,80,"aleja jana pawła ii parzyste od 2 do 60, 62, 62a, 62 b, 64, 66, 68 i nieparzyste 11, 13, 19a, czyżyńska (bez 21), ładna, meissnera nieparzyste od 1 do 15 i parzyste od 34 do 48, mogilska nieparzyste od 101 do 121 a, b, c, d, e, f, g, h, i, j, k, 127 f, bez nr 109,  parzyste od 104, ogrodnicza, ostatnia, szenwalda, szkółkowa",80,50.0705097,20.0421183
80,81,"budrysów, dziewanny, starego dębu, margaretek, na polach, na wyrębę, nawojowska, ojcowska, okrężna, pasternik parzyste, pejzażowa, stawowa parzyste od nr 180 i nieparzyste od nr 189 , szarotki, zaborska, ",81,50.1006913,19.8827967
81,82,"biskupa gawliny, chełmońskiego od 70a, chmurna, dzielna, generała kiwerskiego, generała kukiela, generała olszyny-wilczyńskiego, generała pełczyńskiego, hoża, jasnogórska, kaczmarczyka, kalenkiewicza, kasznicy, lazurowa, piaskowa, radzikowskiego parzyste od 150 (bez 166, 168), słotna, smętna, sosnowiecka, stawowa, parzyste od 18 do 178 i nieparzyste od 55 do 181 , stelmachów od 34 do 442, śmiała, tumanowicza, waleczna",82,50.0908038,19.9060775
82,83,"berwińskiego, mehoffera parzyste od 2 do 6 i nieparzyste od 3 do 11, modrzejewskiej parzyste od 2 do 14, 14a i nieparzyste od 1 do 17, 21, stachiewicza parzyste od 26 do 52 i nieparzyste od 35 do 41, wielkotyrnowska parzyste od 2 do 24 (bez 16 i 16a), 28 i nieparzyste od 3 do 37",84,50.0873008,19.9161331
83,84,"chełmońskiego od 1 do 41, chełmońskiego - deptak, ehrenberga, elsnera parzyste od 20 do 24, murarska, nałkowskiego , niska, radzikowskiego parzyste od 10 do 30, stachiewicza parzyste od 6 do 24, stanisławskiego, wodzinowskiego, wysockiego",85,50.0937905,19.8996483
84,85,"elsnera nieprzyste od 7 do 21, gdyńska, makowskiego 20, 22, mehoffera od 12, różyckiego, weissa parzyste od 14 do 20",86,50.0883809,19.9120585
85,86,"elsnera 1, 3, parzyste od 4 do 18, gnieźnieńska parzyste od 2 do 18 i nieprzyste 1a, od 3 do 33, jaremy nieparzyste od 1 do 19a, lentza, radzikowskiego 3, 7, 15 i parzyste od 34 do 62, weissa 8, zygmuntowska od 2 do 23 (bez 22)",87,50.0834804,19.9094379
86,87,"podkowińskiego, radzikowskiego parzyste od 68 do 144 i nieparzyste od 17 do 95",88,50.0858676,19.8953088
87,88,"gnieźnieńska parzyste od 18b do 26, jaremy 12, 14, 14a, 14b, pużaka 27, 29, zygmuntowska parzyste od 22 i nieparzyste od 25",89,50.08679115,19.9071478773312
88,89,"pużaka parzyste od 2 do 8 i nieparzyste od 3 do 25, radzikowskiego 66",90,50.08409545,19.9049916632219
89,90,"czerwieńskiego, konrada, fiszera, jaremy nieprzyste od 21 do 25 i 41b, słowicza, wilcza",91,50.0839684,19.9024375
90,91,"władysława łokietka 39 i 60, pod fortem, racławicka 57, 92, stachiewicza nieparzyste od 7 do 33, styki, wybickiego 7, 17 i od 30 do 52",83,50.0834159,19.9259256
91,92,palacha,92,50.0894373,19.9179539
92,93,"makowskiego 1, 5, 8, 18, modrzejewskiej parzyste od 16, stachiewicza 45, 47, 58, 60, wielkotyrnowska 16, 16a, 39",93,50.0874193,19.92044315
93,94,"księdza siemaszki parzyste od 4 do 34 i nieparzyste od 13a do 33, pielęgniarek 5, 6, 7",94,50.0876224,19.9401843
94,95,"bratysławska, doktora twardego, lekarska, prądnicka nieparzyste od 27 do 89 (bez 35/37) i parzyste od 28 do 76, księdza siemaszki nieparzyste od 37 do 43 a i parzyste od 38 do 64",95,50.0841985,19.9336176
95,96,"biała, generała fieldorfa-nila, korczaka, prądnicka nieparzyste od 95 do 125 i parzyste od 78 do 80a (bez 80), zdrowa",96,50.0902045,19.940022
96,97,"jaracza 3, 4, 6, 7, 9, 10, 11, 12, 14, 16, 20, 24, 28, 30, 34, konecznego, reja (bez 9), solskiego",97,50.06704965,19.9357764966246
97,98,"bobrzeckiej, frycza - modrzewskiego, reja 9, żabiniec, żmujdzka parzyste od 18 do 32 i nieparzyste od 25 do 45, 49",97,50.086758,19.9426981
98,99,"bociana, jabłonna, kręta, nad struga 9, osiedle mozarta, polna, siewna parzyste od 2 do 20 i nieparzyste od 21, 21a, 21b, 21c, 21d, zawodzie",98,50.0925751,19.9561439
99,100,"herwina - piątka, górnickiego parzyste od 8 do 26 i nieparzyste od 9 do 35, lechonia, pachońskiego 28, 30, 32, 32a, 32b, 34, 69, rokosza",99,50.0964893,19.9399188
100,101,"mackiewicza od 13, siewna nieparzyste 23, 23a, 23b",100,50.096215,19.9468559
101,102,"bałtycka, bursztynowa, grażyny, imbramowska, jazowa, kołaczy, legnicka, litawora, mackiewicza od 1 do 12, narutowicza, papiernicza, syreny, szafirowa, turystyczna, zgody",101,50.091527,19.9454277
102,103,"białoprądnicka, bularnia, górnickiego 2, 3, 6, kluzeka (bez 6), nad sudołem od 31 do 75 i 98. pleszowska, proszowicka, szopkarzy",102,50.0961457,19.9360687
103,104,"glogera, jarzynowa, jasna, kosmonautów, malinowa, matki tajber, mączna, pasteura, piaszczysta, pigonia, rybałtowska, zaremby, zielińska, zimorowicza, żwirowa",103,50.1025925,19.92755
104,105,"danka, grochowiaka, nad sudołem od 12 do 30, pachońskiego 8, 14, 14a, 16, 18",104,50.0928465,19.9266478
105,106,"bliska, bukietowa, jordanowska, na chałupkach, nad sudołem 6, 8, 10, nawigacyjna, owsiana, pachońskiego 2, 2b, 4, 4a, 5, 6, 6a, pękowicka (bez 77 i 204), północna, skrajna, stelmachów parzyste od 18 do 24, tomkowicza, vetulaniego, wewnętrzna, władysława łokietka od 83 do 124, wyki",105,50.091369,19.9167335
106,107,"krowoderskich zuchów parzyste 12, 14, 16, 18, 20, opolska",106,50.0891141,19.9303837
107,108,"batalionu ""skała"" ak, krowoderskich zuchów 23, 24, 25, 26, 28",107,50.0908099,19.9229579
108,109,"kluczborska, krowoderskich zuchów 4, 11, 13, 15, 15a, 15c, 17, 19",108,50.0870317,19.9317547
109,110,"krowoderskich zuchów 3, 3a, 5, 7, 9, wybickiego 2",109,50.0854977,19.9300383
110,111,"rusznikarska nieparzyste od 1 do 11, władysława łokietka nieprzyste od 47 do 59, wybickiego 14, 16",110,50.0843915,19.9262916
111,112,"rusznikarska 6, 8, 10, 10b, 12, 12a, 12b, 13, 13b, 14, 14a, 15, 16, 18, 20, 21, rusznikarska - deptak, wybickiego 1, 1b, 3, 3a, 5, 8, 10",111,50.0850365,19.9272367
112,113,"azaliowa, chabrowa, frycza, gaik, generała paszkowskiego, gospodarska, gryczana, jeczmienna, jurajska, kaczorówka, konopna, lniana, maciejkowa, miętowa, na budzyniu, na mostkach, na zielonki, orlich gniazd, pękowicka 77 i 204, potoczek, poziomkowa, skotnica, waliszewskiego, władysława łokietka od 126, zefirowa",112,50.1081489,19.8975875
113,114,"arsenał, banacha, belwederczyków, bibicka, dożynkowa, drużnicka, głogowa, górka narodowa, górnickiego parzyste od 28 i nieparzyste od 37, koło białuchy, koralowa, nowa górka, okulistów, osiedle witkowice nowe, porzeczkowa, potockiego, rysiewicza, siewna parzyste od 52, 25, 25a, suche łąki, turowiec, urodzajna, wądół, witkowicka, zielone wzgórze",113,50.0651256,19.9403019326923
114,115,"kuźnicy kołłątajowskiej parzyste od 18 i nieparzyste od 17, marczyńskiego, natansona, słomczyńskiego",114,50.0981506,19.9542913
115,116,"aleja 29 listopada od 161 do 214, 224, 226, arcybiskupa felińskiego, batowicka, grabczaka, księdza meiera, kuźnicy kołłątajowskiej parzyste od 2 do 16d i nieparzyste od 1 do 15c, węgrzecka",115,50.0619474,19.9368564
116,117,"buszka, bydgoska, gramatyka, lea parzyste od 46 do 100, misjonarska, nawojki 4 i od 6 do 8 oraz 23, 25, piastowska nieparzyste od 47 do 51, rolnicza, skarbińskiego",116,50.0674397,19.9029763
117,118,"armii krajowej nieparzyste od 5 do 53, bakałarzy, brązownicza, budryka, hamernia 1, kawiory, konwisarzy, miechowska, mydlnicka (bez 12, 20), nawojki 9, odlewnicza (bez nr 1, 3), piastowska 22, 26, 26a, pyjasa, reymonta nieparzyste od 21, rostafińskiego, spiżowa, tokarskiego, toruńska",117,50.0698542,19.9009476996997
118,119,"chmiela, lea nieparzyste od 93 do 121, obopólna, piastowska nieparzyste od 53 do 57, smoluchowskiego, warmijska",118,50.0727893,19.9088868
119,120,"kronikarza galla nieparzyste od 15 do 23, królewska parzyste od 90 do 94, lea nieparzyste od 75 do 81, staffa",119,50.0730685,19.913918
120,121,"akademicka, aleja 3 maja, aleja mickiewicza parzyste, beniowskiego, chodowieckiego, cichy kącik, czarnowiejska parzyste od 18 do 84, domeyki, goetla, igrców, ingardena, kadrówki, oleandry, olimpijska, piastowska nieparzyste od 19 do 39a, radwańskiego, reymana, reymonta parzyste od 4 do 44 i nieparzyste 1, 5, 7, 11, 15/3-5, 17/2-2, 17/3-4, 17/1-2, 17/3-5, 17/1-5, 19, 19a, tkacka",120,50.0652203,19.9167183
