Nr,Siedziba,Typ,,Granice obwodu głosowania
11,"Szkoła Podstawowa Nr 16, Kraków Dietla 70",Powszechny,Nie,"Bogusławskiego nieparzyste od 1 do 9, Dietla parzyste od 44 do 68, Sarego nieparzyste od 1 do 11, Stradomska parzyste od 2 do 18, Świętego Sebastiana nieparzyste od 1 do 23 i parzyste od 2 do 12, Świętej Gertrudy od 12 do 24"
12,"Szkoła Podstawowa Nr 16, Kraków Dietla 70",Powszechny,Nie,"Bogusławskiego parzyste od 2 do 10, Dietla parzyste od 70 do 76, Sarego nieparzyste od 13 do 27 i parzyste od 2 do 28, Starowiślna nieparzyste od 1 do 27, Świętego Sebastiana parzyste od 14 do 24, Świętej Gertrudy od 1 do 11"
13,"Urząd Miasta Krakowa, Kraków Wielopole 17 A",Powszechny,Nie,"Bonerowska, Dietla parzyste od 80 do 90, Librowszczyzna, Morsztynowska, Starowiślna parzyste od 2 do 22, Westerplatte od 17 do 20, Wielopole, Zyblikiewicza nieparzyste od 1 do 19"
14,"Dom Pomocy Społecznej, Kraków Radziwiłłowska 8",Powszechny,Nie,"Skłodowskiej-Curie, Kopernika nieparzyste od 1 do 9 i parzyste od 2 do 16, Lubicz nieparzyste od 1 do 9, Radziwiłłowska, Westerplatte od 1 do 16, Zamenhofa, Zyblikiewicza parzyste od 2 do 22"
15,"Szkoła Podstawowa Nr 1, Kraków Świętego Marka 34",Powszechny,Nie,"Floriańska, Mały Rynek, Mikołajska, Na Gródku, Pijarska nieparzyste od 19 do 23, Plac Mariacki, Plac Świętego Ducha, Sienna parzyste od 2 do 16, Szpitalna, Świętego Krzyża, Świętego Marka nieparzyste od 21 do 39 i parzyste od 20 do 34, Świętego Tomasza nieparzyste od 21 do 43 i parzyste od 18 do 34"
16,"Szkoła Podstawowa Nr 1, Kraków Świętego Marka 34",Powszechny,Nie,"Bracka, Franciszkańska 1 i 3, Gołębia, Grodzka nieparzyste od 1 do 17, Jagiellońska, Olszewskiego, Pijarska nieparzyste od 1 do 17 i parzyste od 2 do 10, Plac Szczepański, Plac Wszystkich Świętych od 6 do 11, Reformacka, Rynek Główny, Sławkowska, Szczepańska, Szewska, Świętego Jana, Świętego Marka od 4 do 19, Świętego Tomasza nieparzyste od 1 do 19 i parzyste od 2 do 16, Świętej Anny, Wiślna"
17,"I Liceum Ogólnokształcące, Kraków Plac Na Groblach 9",Powszechny,Nie,"Plac Na Groblach, Powiśle nieparzyste od 1 do 9 i parzyste od 2 do 12, Podzamcze parzyste od 20 do 26, Straszewskiego od 4 do 15, Tarłowska, Tenczyńska, Zwierzyniecka parzyste od 2 do 34"
18,"Szkoła Podstawowa Nr 4, Kraków Smoleńsk 5/7",Powszechny,Nie,"Aleja Krasińskiego nieparzyste od 1 do 25, Marszałka Piłsudskiego nieparzyste od 1 do 25 i parzyste od 4 do 40 , Morawskiego 2, 4, Plac Kossaka od 1 do 16, Retoryka nieparzyste od 1 do 23 i 4, 4 a , 4 b, 6, 6 a, Smoleńsk nieparzyste od 27 do 37 i parzyste od 14 do 26, Wygoda"
19,"Szkoła Podstawowa Nr 4, Kraków Smoleńsk 5/7",Powszechny,Nie,"Bożego Miłosierdzia, Felicjanek, Mała, Retoryka parzyste od 10 do 26, Smoleńsk nieparzyste od 3 do 25 a i parzyste od 2 do 12, Straszewskiego od 18 do 22, Zegadłowicza, Zwierzyniecka nieparzyste od 5 do 29"
20,"Zespół Szkół Mechanicznych Nr 1, Kraków Aleja Mickiewicza 5",Powszechny,Nie,"Aleja Mickiewicza nieparzyste od 1 do 23, Cybulskiego, Czarnowiejska parzyste od 4 do 8, Czysta, Dolnych Młynów parzyste od 6 do 10, Garncarska nieparzyste od 1 do 23 (bez 11), Humberta, Krupnicza nieparzyste od 23 do 37 i parzyste od 32 do 44, Marszałka Piłsudskiego nieparzyste od 27 do 29, Skarbowa (bez 1), Wenecja"
21,"Zespół Szkół Energetycznych, Kraków Loretańska 16",Powszechny,Nie,"Czapskich, Garncarska parzyste od 2 do 26, Jabłonowskich, Kapucyńska, Krupnicza parzyste od 2 do 30, Loretańska, Podwale, Plac Generała Sikorskiego, Straszewskiego od 23 do 29, Studencka"
22,"Specjalny Ośrodek Szkolno-Wychowawczy Nr 1, Kraków Szujskiego 2",Powszechny,Nie,"Aleja Mickiewicza nieparzyste od 25 do 37, Czarnowiejska nieparzyste od 1 do 25, 25 a, Dolnych Młynów nieparzyste od 3 do 11, Karmelicka parzyste od 6 do 42, Kochanowskiego nieparzyste od 1 do 7 i parzyste od 2 do 30, Krupnicza nieparzyste od 1 do 21, Michałowskiego nieparzyste od 11 do 19 i parzyste od 2 do 18, Rajska, Szujskiego"
23,"Specjalny Ośrodek Szkolno-Wychowawczy Nr 1, Kraków Szujskiego 2",Powszechny,Nie,"Aleja Mickiewicza nieparzyste od 41 do 63, Grabowskiego, Karmelicka parzyste od 44 do 70, Kochanowskiego nieparzyste od 9 do 25, Michałowskiego nieparzyste od 1 do 9, Pawlikowskiego"
24,"II Liceum Ogólnokształcące, Kraków Sobieskiego 9",Powszechny,Nie,"Aleja Słowackiego nieparzyste od 1 do 13 a, b, c, d, Feldmana, Jana Sobieskiego, Karmelicka nieparzyste od 53 do 57, Kremerowska, Lenartowicza parzyste od 2 do 14 i nieparzyste od 1 do 13, Łobzowska parzyste od 28 do 40, Siemiradzkiego ( bez 1)"
25,"II Liceum Ogólnokształcące, Kraków Sobieskiego 9",Powszechny,Nie,"Aleja Słowackiego nieparzyste od 15 do 25, Krowoderska parzyste od 46 do 74, Łobzowska nieparzyste od 41 do 61, Spasowskiego, Staszica, Szlak nieparzyste od 1 do 13 i parzyste od 2 do 12, Świętej Teresy"
26,"Małopolskie Centrum Doskonalenia Nauczycieli, Kraków Garbarska 1",Powszechny,Nie,"Dunajewskiego, Garbarska, Karmelicka nieparzyste od 1 do 51, Łobzowska parzyste od 2 do 26, Stefana Batorego"
27,"XXVII Liceum Ogólnokształcące, Kraków Krowoderska 17",Powszechny,Nie,"Asnyka, Biskupia, Basztowa od 1 do 10, Długa parzyste od 2 do 38, Fenn`a, Krowoderska nieparzyste od 1 do 33 (bez 7) i parzyste od 2 do 44, Łobzowska nieparzyste od 3 do 39 a, 39 b, Słowiańska 2"
28,"Przedszkole Samorządowe Nr 44, Kraków Żuławskiego 9",Powszechny,Nie,"Aleja Słowackiego nieparzyste od 27 do 45, Długa parzyste od 70 do 88, Kolberga, Krowoderska nieparzyste od 61 do 79, Szlak parzyste od 14 do 18, Żuławskiego"
29,"X Liceum Ogólnokształcące, Kraków Wróblewskiego 8",Powszechny,Nie,"Długa nieparzyste od 31 do 55 i parzyste od 40 do 64, Krowoderska nieparzyste od 35 do 59, Pędzichów parzyste od 2 do 22, Szlak nieparzyste od 15 do 45"
30,"X Liceum Ogólnokształcące, Kraków Wróblewskiego 8",Powszechny,Nie,"Długa 27, 29 i nieparzyste od 57 do 65, Helclów (bez 2), Kamienna nieparzyste od 1 do 13, Montelupich (bez 7), Ogrodowa, Pędzichów nieparzyste od 1 do 27 i parzyste od 24 do 28, Szlak nieparzyste od 47 do 75 i parzyste od 20 do 42, Warszawska, Wróblewskiego"
31,"Gimnazjum Nr 4, Kraków Rynek Kleparski 18",Powszechny,Nie,"Basztowa od 15, Bosacka parzyste od 4 do 32 i 29, Długa nieparzyste od 1 do 23, Krótka, Krzywa, Kurniki, Lubicz parzyste od 10 do 14 a, Paderewskiego, Pawia, Plac Nowaka-Jeziorańskiego, Plac Matejki, Rynek Kleparski, Świętego Filipa, Worcella, Zacisze"
32,"Szkoła Podstawowa Nr 95, Kraków Wileńska 9",Powszechny,Nie,"Aleja 29 Listopada nieparzyste od 1 do 39 i parzyste od 6 do 36, Będzińska, Biskupa Prandoty, Bosacka 13, 15, Kamienna 15, 16, 17, 19, 35, 45, Kątowa, Langiewicza, Murowana, Otwinowskiego 27,29, Rakowicka parzyste od 18 do 30,30 c, Rogatka, Towarowa, Wjazd, Żelazna"
33,"Zespół Szkół Ogólnokształcących Nr 11, Kraków Wyrwińskiego 1",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego nieparzyste od 53 do 71, Brodowicza parzyste od 16 a do 36, nieparzyste 13, 13 a, Eisenberga, Garczyńskiego, Generała Bema, Generała Sowińskiego, Grochowska nieparzyste, Grunwaldzka od 17, Księdza Biskupa Bandurskiego od 17, Moniuszki nieparzyste od 21 do 69 i parzyste od 20 do 48, Olszańska nieparzyste od 9 do 31 i parzyste od 12 do 34, Ordona, Orląt Lwowskich, Supniewskiego, Wilka Wyrwińskiego"
34,"Młodzieżowy Dom Kultury, Kraków Grunwaldzka 5",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego nieparzyste od 1 do 7, Generała Chłopickiego, Grunwaldzka od 1 do 10, Kielecka od 1 do 18, Misiołka, Mogilska parzyste od 22 do 102, Rymarska parzyste od 12 do 18 i 5, Zaleskiego"
35,"Urząd Miasta Krakowa, Kraków Kasprowicza 29",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego nieparzyste od 9 do 51, Brodowicza nieparzyste od 1 do 11 i parzyste od 2 do 16, Grunwaldzka od 11 do 16, Kasprowicza, Kielecka od 19, Księdza Biskupa Bandurskiego od 1 do 16, Moniuszki od 1 do 19"
36,"Zespół Szkół Specjalnych Nr 10, Kraków Lubomirskiego 21",Powszechny,Nie,"Aleja Płk. Beliny-Prażmowskiego parzyste od 2 do 70, Ariańska, Lubicz parzyste od 44 do 48, Lubomirskiego 2 i od 19, Mogilska parzyste od 2 do 20, Olszańska nieparzyste od 1 do 7a i parzyste od 2 do 10, Rakowicka nieparzyste od 27 do 43,43A, Topolowa nieparzyste od 25 do 35 i parzyste od 32 do 52"
37,"Szkoła Podstawowa Nr 3, Kraków Topolowa 22",Powszechny,Nie,"Botaniczna, Bosacka nieparzyste od 5 do 11, Kopernika nieparzyste od 13 do 31( bez 19d) i parzyste od 22 do 50 ( bez 36), Kurkowa, Lubicz nieparzyste od 13 do 29 i parzyste od 16 do 42, Lubomirskiego nieparzyste od 1 do 15, Rakowicka od 1 do 25 (bez 18, 20, 22, 24), Strzelecka , Topolowa nieparzyste od 1 do 23 i parzyste od 2 do 30, Zygmunta Augusta"
38,"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, Kraków Grochowska 20",Powszechny,Nie,"Bolesława Chrobrego od 1 do 23, Domki, Grochowska parzyste, Idzikowskiego, Jaworskiego, Księdza Ignacego Jana Skorupki, Na Wiankach, Norwida, Rakowicka nieparzyste od 45 do 99, Rusałek"
39,"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, Kraków Grochowska 20",Powszechny,Nie,"Bolesława Chrobrego od 24, Bratkowa, Cieplińskiego, Droga Nad Białuchą, Dukatów, Farmaceutów, Kąt, Kryniczna, Lesista, Lotnicza nieparzyste od 1 do 13 i parzyste od 2 do 22, Łukasiewicza, Nadbrzeżna, Narzymskiego nieparzyste od 1 do 23 i parzyste od 2 do 32, Olszyny, Otwinowskiego (bez nr 27,29), Stokrotek"
40,"Gimnazjum Nr 7, Kraków Jachowicza 5",Powszechny,Nie,"Aleja Pokoju parzyste od 20 do 32, Dąbska, Jachowicza, Kosynierów, Mogilska 109, Nizinna, Świtezianki, Zwycięstwa"
41,"Gimnazjum Nr 7, Kraków Jachowicza 5",Powszechny,Nie,"Aleja Pokoju 31 b, nieparzyste od 37 do 45, Na Szaniec nieparzyste od 1 do 23, Widok parzyste od 2 do 12"
42,"Szkoła Podstawowa Nr 18, Kraków Półkole 11",Powszechny,Nie,"Bajeczna, Grzegórzecka nieparzyste od 117 do 119 a, Na Szaniec parzyste od 2 do 14, Miedziana, Ofiar Dąbia"
43,"Szkoła Podstawowa Nr 18, Kraków Półkole 11",Powszechny,Nie,"Półkole, Widok nieparzyste od 5 do 41 i parzyste od 14 do 22 a"
44,"Szkoła Podstawowa Nr 38, Kraków Nullo 23",Powszechny,Nie,"Bobrowskiego, Pułkownika Nullo nieparzyste od 3 do 7 i parzyste od 4 do 6, 8A, Aleja Pokoju nieparzyste od 1 do 23, 27 a, b i 29,29 a,29 b,"
45,"Szkoła Podstawowa Nr 38, Kraków Nullo 23",Powszechny,Nie,"Aleja Pokoju parzyste od 10 do 12, Pułkownika Nullo nieparzyste od 13 do 23 i parzyste od 10 do 20"
46,"Szkoła Podstawowa Nr 38, Kraków Nullo 23",Powszechny,Nie,"Aleja Pokoju parzyste od 14 do 18, Cystersów, Fabryczna nieparzyste od 15 do 25 i parzyste od 8 do 20 a, Mogilska nieparzyste od 11 do 81, Mosiężnicza, Przy Rondzie 7, 53, 55"
47,"XIII Liceum Ogólnokształcące, Kraków Sądowa 4",Powszechny,Nie,"Fabryczna nieparzyste od 1 do 3 parzyste od 2 do 6, Grzegórzecka parzyste od 72 do 104 i nieparzyste od 67 do 101, Rogozińskiego, Skrzatów, Żółtej Ciżemki"
48,"XIII Liceum Ogólnokształcące, Kraków Sądowa 4",Powszechny,Nie,"Aleja Pokoju parzyste od 2 do 8, Aleja Powstania Warszawskiego parzyste, Kordylewskiego, Profesora Szafera, Przy Rondzie 2, Sądowa 4 i nieparzyste od 1 do 9"
49,"VIII Liceum Ogólnokształcące, Kraków Grzegórzecka 24",Powszechny,Nie,"Aleja Powstania Warszawskiego nieparzyste, Blich, Bujwida, Generała Dwernickiego, Generała Sołtyka, Grzegórzecka parzyste od 4 do 40, Hetmana Żółkiewskiego, Kołłątaja (bez 7), Śniadeckich (bez 10), Świętego Łazarza"
50,"VIII Liceum Ogólnokształcące, Kraków Grzegórzecka 24",Powszechny,Nie,"Aleja Daszyńskiego parzyste od 12 do 32, Chodkiewicza, Grzegórzecka nieparzyste od 7 do 51, Masarska 3,6,6A,7,8, Pola, Prochowa, Rzeźnicza nieparzyste od 1 do 35"
51,"Zespół Szkół Zawodowych Nr 1, Kraków Rzeźnicza 4",Powszechny,Nie,"Gęsia, Kotlarska, Masarska 14,16, Rzeźnicza parzyste od 2 do 20, Semperitowców"
52,"Szkoła Podstawowa Nr 10, Kraków Księdza Blachnickiego 1",Powszechny,Tak,"Aleja Daszyńskiego nieparzyste od 7 do 29, Halicka 21, 22,23, Księdza Blachnickiego, Księdza Gurgacza, Metalowców, Miodowa 53, 55, 55 a, Podgórska 28, Siedleckiego, Wiślisko"
53,"Filia Przedszkola Samorządowego Nr 162, Kraków Duchacka 3",Powszechny,Nie,"Aleja 29 Listopada nieparzyste od 71 do 93, Celarowska nieparzyste, Duchacka, Fertnera, Generała Prądzyńskiego nieparzyste, Sadowa, Wiśniowa"
54,"Szkoła Podstawowa Nr 95, Kraków Wileńska 9",Powszechny,Nie,"Aleja 29 Listopada nieparzyste od 41 do 69 i parzyste od 38 do 86 ( bez Nr 70), Generała Prądzyńskiego parzyste, Klemensiewicza, Wileńska, Zaułek Wileński"
55,"Szkoła Podstawowa Nr 95, Kraków Wileńska 9",Powszechny,Nie,"Aleja 29 Listopada 70, Celarowska parzyste, Czerwona, Żmujdzka parzyste od 2 do 16 a i nieparzyste od 1 do 23, Żytnia"
56,"Szkoła Podstawowa Nr 95, Kraków Wileńska 9",Powszechny,Nie,"Błękitna, Brogi nieparzyste, Czerwonego Prądnika, Gdańska, Nadrzeczna, Pogodna, Prządek, Radomska, Trębacza, Żułowska"
57,"Klub Muzyki Współczesnej ""Malwa"", Kraków Dobrego Pasterza 6",Powszechny,Nie,"Aleja 29 Listopada nieparzyste od 95 do 145 i parzyste od 88 do 154, Białych Brzóz, Chlebowa, Ciołkowskiego, Combrowa, Dobrego Pasterza parzyste od 2 do 88 i nieparzyste od 1 do 103, Dominikanów, Jasnorzewskiej, Jezuitów, Lublańska 11a,15, Na Barciach, Nabielaka, Nad Strugą 7,17, Ostroroga, Pocieszka, Powstańców 26, Rezedowa, Rokitniańska, Rybianka, Szklana, Świętego Andrzeja Boboli, Woronicza"
58,"Przedszkole Samorządowe Nr 178, Kraków Sudolska 3",Powszechny,Nie,"Łepkowskiego, Majora Nuszkiewicza"
59,"Przedszkole Samorządowe Nr 178, Kraków Sudolska 3",Powszechny,Nie,Majora
60,"Gimnazjum Nr 9, Kraków Kazimierza Odnowiciela 2",Powszechny,Nie,"Bitschana, Boznańskiej, Dziedzica, Kazimierza Odnowiciela, Olszecka, Promienistych"
61,"Gimnazjum Nr 9, Kraków Kazimierza Odnowiciela 2",Powszechny,Nie,"Dobrego Pasterza parzyste od 102 do 110, 112, 112 a, 114, 114 a, i nieparzyste od 105 do 123, Łuszczkiewicza, Naczelna, Sudolska"
62,"Szkoła Podstawowa Nr 2, Kraków Strzelców 5a",Powszechny,Nie,"Liliowa, Powstańców nieparzyste od 1 do 115 A i parzyste 14, 20, 22, 36, 38, 40, 42, 44, 46, 52,52A, Strzelców 15 a, 15 b, 17 a"
63,"Szkoła Podstawowa Nr 2, Kraków Strzelców 5a",Powszechny,Nie,"Strzelców (bez 15 a, 15 b, 17 a), Reduta 5,6"
64,"Przedszkole Samorządowe Nr 65, Kraków Strzelców 5",Powszechny,Tak,Powstańców parzyste od 30 do 34 a
65,"""POLSAD"" Sp. z o.o., Kraków Dobrego Pasterza 121",Powszechny,Nie,"Aliny, Balladyny,Aleja Gen.Bora-Komorowskiego bez 9a,15, 15a,b, Brzechwy, Dobrego Pasterza parzyste od 118 do 122 i nieparzyste od 125, Harnasiów, Janosika, Krzesławicka (bez 2 a, 2 b), Liryczna, Nikifora, Słoneckiego"
66,"Przedszkole Samorządowe Nr 162, Kraków Kazimierza Odnowiciela 4",Powszechny,Nie,"Antyczna, Bachledy, Kwartowa, Marchołta, Pana Cogito, Reduta 31, Rozrywka, Sabały"
67,"Szkoła Podstawowa Nr 64, Kraków Sadzawki 1",Powszechny,Nie,"Dzielskiego, Młyńska Boczna 3, 5, 7, 9, XX Pijarów"
68,"Szkoła Podstawowa Nr 64, Kraków Sadzawki 1",Powszechny,Nie,"Akacjowa (bez 10,12), Cieślewskiego parzyste, Pszona, Pilotów nieparzyste od 53 do 97 i parzyste od 20 a do 68, Ułanów nieparzyste od 33 do 63 i parzyste od 52 do 80, Wysoka"
69,"Przedszkole Samorządowe Nr 14, Kraków Młyńska Boczna 4",Powszechny,Nie,"Młyńska Boczna 4, Młyńska parzyste od 2 do 14, Sadzawki"
70,"Gimnazjum Nr 10, Kraków Stanisława ze Skalbmierza 7",Powszechny,Nie,"Brogi parzyste, Dobra, Jaśminowa, Kanonierów, Mieszka I, Partyzantów, Piękna, Pilotów 2, 4, Ptasia, Saperów, Sokołowskiego, Szwoleżerów"
71,"Gimnazjum Nr 10, Kraków Stanisława ze Skalbmierza 7",Powszechny,Nie,"Bohaterów Wietnamu, Miechowity parzyste od 8 do 10 i 18, Młyńska 5, 7, 7 a, 9, 156, Pilotów parzyste od 6 do 20, Stanisława ze Skalbmierza"
72,Gimnazjum nr 10 Kraków Stanisława ze Skalbmierza 7,Powszechny,Nie,"Bosaków, Czereśniowa, Lublańska parzyste od 6 do 20 , Malawskiego, Miechowity od 1 do 6, Olsztyńska, Środkowa, Turkusowa, Wieniawskiego"
73,Gimnazjum nr 10 ul. Stanisława ze Skalbmierza 7,Powszechny,Nie,"Lublańska parzyste od 22 do 30, Miechowity nieparzyste od 7 do 21, Młyńska 11"
74,"Szkoła Muzyczna I Stopnia Nr 1, Kraków Pilotów 51",Powszechny,Nie,"Bajana, Chałupnika, Kajty, Krzywoń, Majowa, Meissnera 4, 6 i 20, Nieznana, Pilotów nieparzyste od 1 do 51, Podmiejska, Raciborskiego, Rozmarynowa, Startowa, Swojska, Widna, Wiejska, Żwirki i Wigury"
75,"Zespół Szkół Ogólnokształcących nr 9, Kraków Seniorów Lotnictwa 5",Powszechny,Tak,"Fiołkowa, Spadochroniarzy, Ugorek parzyste od 2 do 4, Ułanów nieparzyste od 17 do 31 i parzyste od 46 do 48, Seniorów Lotnictwa"
76,"Zespół Szkół Ogólnokształcących nr 9, Kraków Seniorów Lotnictwa 5",Powszechny,Tak,Ugorek parzyste od 6 do 20
77,"Zespół Szkół Nr 1, Kraków Ułanów 3",Powszechny,Nie,"Ugorek nieparzyste od 1 do 3, Ułanów nieparzyste od 7 do 15 i parzyste od 16 do 42, Włodkowica nieparzyste od 1 do 7"
78,"Zespół Szkół Nr 1, Kraków Ułanów 3",Powszechny,Nie,"Janickiego, Łąkowa, Meissnera nieparzyste 17, 21, 33, 35 i parzyste od 2 do 10 (bez 4, 6) i 14, Nieduża, Ułanów nieparzyste od 1 do 5, 5 a i parzyste od 2 do 14, Włodkowica parzyste od 2 do 8"
79,"Szkoła Podstawowa Nr 114, Kraków Łąkowa 31",Powszechny,Nie,"Śliczna, Kantora"
80,"Szkoła Podstawowa Nr 114, Kraków Łąkowa 31",Powszechny,Nie,"Aleja Jana Pawła II parzyste od 2 do 60, 62,62a, 62 b, 64, 66, 68 i nieparzyste 11, 13,19A, Czyżyńska, Ładna, Meissnera nieparzyste od 1 do 15 i parzyste od 34 do 48, Mogilska nieparzyste od 101 do 121 a, b, c, d, e, f, g, h, i, j, k, 127 f, bez nr 109, parzyste od 104, Ogrodnicza, Ostatnia, Szenwalda, Szkółkowa"
81,"Szkoła Podstawowa Nr 51, Kraków Stawowa 179",Powszechny,Nie,"Budrysów, Dziewanny, Margaretek, Na Polach, Na Wyrębę, Nawojowska, Ojcowska, Okrężna, Pasternik parzyste, Pejzażowa, Stawowa parzyste od Nr 180 i nieparzyste od Nr 189 , Szarotki, Zaborska,"
82,"Szkoła Podstawowa Nr 51, Kraków Stawowa 179",Powszechny,Nie,"Biskupa Gawliny, Chełmońskiego od 74, Chmurna, Dzielna, Generała Kiwerskiego, Generała Kukiela, Generała Olszyny-Wilczyńskiego, Generała Pełczyńskiego,Hoża, Jasnogórska, Kaczmarczyka, Kalenkiewicza, Kasznicy, Lazurowa, Piaskowa, Radzikowskiego Eljasza parzyste od 150 (bez 166,168), 168A, Słotna, Smętna, Sosnowiecka, Stawowa, parzyste od 18 do 178 i nieparzyste od 55 do 181 , Stelmachów od 34 do 442, Śmiała, Tumanowicza, Waleczna, Zaorana"
83,"Przedszkole Samorządowe Nr 121, Kraków Stachiewicza 21",Powszechny,Nie,"Władysława Łokietka 39 i 60, Pod Fortem, Racławicka 57, 92, Stachiewicza nieparzyste od 7 do 33, Styki, Wybickiego 7, 17 i od 30 do 52"
84,"XIV Liceum Ogólnokształcące, Kraków Chełmońskiego 24",Powszechny,Nie,"Berwińskiego, Mehoffera parzyste od 2 do 6 i nieparzyste od 3 do 11, Modrzejewskiej parzyste od 2 do 14, 14 a i nieparzyste od 1 do 17, 21, Stachiewicza parzyste od 26 do 52 i nieparzyste od 35 do 41, Wielkotyrnowska parzyste od 2 do 24 (bez 16 i 16 a), 28 i nieparzyste od 3 do 37"
85,"XIV Liceum Ogólnokształcące, Kraków Chełmońskiego 24",Powszechny,Nie,"Chełmońskiego od 1 do 41, Chełmońskiego - Deptak, Ehrenberga, Elsnera parzyste od 20 do 24, Murarska, Nałkowskiego, Niska, Radzikowskiego Eljasza parzyste od 10 do 30, Stachiewicza parzyste od 6 do 24, Stanisławskiego, Wodzinowskiego, Wysockiego"
86,"XIV Liceum Ogólnokształcące, Kraków Chełmońskiego 24",Powszechny,Nie,"Elsnera nieparzyste od 7 do 21, Gdyńska, Makowskiego 20, 22, Mehoffera od 12, Różyckiego, Weissa parzyste od 14 do 20"
87,"Klub Kultury ""Vademecum"", Kraków Radzikowskiego 29",Powszechny,Nie,"Elsnera 1, 3, parzyste od 4 do 18, Gnieźnieńska parzyste od 2 do 18 i nieparzyste 1a, od 3 do 33, Jaremy nieparzyste od 1 do 19a, Lentza, Radzikowskiego Eljasza 3, 7, 15 i parzyste od 34 do 62, Weissa 8, Zygmuntowska od 2 do 23 (bez 22)"
